"","Fecha","CHORRILLOS","ACOBAMBA","MINA.COLQUI"
"102","1/06/1989",0.042269476,1.360463977,2.945407629
"103","1/07/1989",0.890976965,0.977620959,2.314713001
"104","1/08/1989",1.258544683,2.632568836,14.46866322
"105","1/09/1989",0.806129813,6.381750584,23.76661873
"106","1/10/1989",0,27.07187843,57.14028931
"107","1/11/1989",0.116975263,5.698665619,14.99404812
"108","1/12/1989",0.073745288,2.169956446,6.478080273
"109","1/01/1990",0.58078438,84.84856415,172.4379578
"110","1/02/1990",0,26.04405212,37.31172943
"111","1/03/1990",0.822578073,54.19166946,84.10150909
"112","1/04/1990",0,8.550088882,31.51381111
"113","1/05/1990",0.413173735,8.332929611,24.095047
"114","1/06/1990",1.274355412,2.202380419,8.521525383
"115","1/07/1990",0.656419933,0.259076387,0.727788448
"116","1/08/1990",1.468714952,1.957151651,7.911538124
"117","1/09/1990",0.653619766,2.539027214,10.22881794
"118","1/10/1990",0.124295965,134.4670105,184.125061
"119","1/11/1990",0.197862998,175.8853149,223.6084595
"120","1/12/1990",0.072691575,106.1580734,124.4506607
"121","1/01/1991",0.144375741,75.72728729,108.3720169
"122","1/02/1991",0.17495279,93.64266968,102.8048935
"123","1/03/1991",0.619470298,193.8967896,204.2744904
"124","1/04/1991",0,45.20810699,65.05539703
"125","1/05/1991",0.705238223,11.8443327,24.56972504
"126","1/06/1991",0.376968712,0.373377085,1.412616849
"127","1/07/1991",0.602411032,0.589473784,1.997473717
"128","1/08/1991",0.392119557,0.135259911,0.438751519
"129","1/09/1991",0.756124079,9.127943039,29.52618408
"130","1/10/1991",0.198445499,75.18788147,121.3741074
"131","1/11/1991",0.260680705,52.07765198,69.26712799
"132","1/12/1991",0.374605447,24.5099659,54.36618423
"133","1/01/1992",0.307828635,46.76953125,82.38235474
"134","1/02/1992",0.167905971,55.20198822,60.83059692
"135","1/03/1992",0.08526732,72.2201767,106.7342834
"136","1/04/1992",0.031953558,23.80120468,53.81833649
"137","1/05/1992",0.18155694,1.432901263,4.018338203
"138","1/06/1992",0.152294055,0.533075392,1.458618045
"139","1/07/1992",1.315589309,0.5229581,2.090054989
"140","1/08/1992",0.347668499,1.476023674,7.786577225
"141","1/09/1992",0.406186163,3.315071344,11.96856022
"142","1/10/1992",0.083329231,45.47146225,71.79373169
"143","1/11/1992",0.001613465,10.70189667,21.82531548
"144","1/12/1992",0.091046035,29.56053162,43.17503738
"145","1/01/1993",0.64935863,166.5102844,238.1986237
"146","1/02/1993",1.721588492,110.3234329,123.6281815
"147","1/03/1993",1.566652536,185.3600311,232.2345581
"148","1/04/1993",0,98.10305786,121.5435181
"149","1/05/1993",0.323712319,13.40336037,19.37941742
"150","1/06/1993",0.066547461,0,0
"151","1/07/1993",2.301313639,0.544899702,1.649634123
"152","1/08/1993",0.164161563,0.941723883,4.353822231
"153","1/09/1993",0.681384444,9.159790039,27.87477112
"154","1/10/1993",0,43.5843811,88.72542572
"155","1/11/1993",0.275168091,107.6592865,166.1621094
"156","1/12/1993",0.074582323,122.7133331,212.9117279
"157","1/01/1994",0.871863127,186.9675446,382.8358765
"158","1/02/1994",0.211557552,207.9450836,138.0073395
"159","1/03/1994",0.849742532,206.6384888,249.184494
"160","1/04/1994",0,103.2047501,126.9334488
"161","1/05/1994",0.121729612,28.53749275,49.11211395
"162","1/06/1994",0.031398773,1.135068893,3.937683344
"163","1/07/1994",0.445358872,0.49352181,2.10544157
"164","1/08/1994",0.173492864,1.51319468,8.026339531
"165","1/09/1994",0.196976423,20.27342987,50.67422485
"166","1/10/1994",0,11.68000221,25.63495827
"167","1/11/1994",0,80.81896973,126.5001144
"168","1/12/1994",0.090599686,84.48786163,171.7420502
