Fecha,CHORRILLOS,ACOBAMBA,MINA.COLQUI,PUCRO,TINGO,SHEQUE,LA.QUISHA,CARAMPOMA
1/03/1985,0.20154421,181.1687469,221.5358429,148.9126434,159.4199066,159.4199066,159.4199066,96.49906158
1/04/1985,0,29.36890984,85.00112152,70.85433197,59.94216537,59.94216537,59.94216537,26.77187347
1/05/1985,0.207043648,4.876594543,25.24299431,38.3984375,9.084612846,9.084612846,9.084612846,0.688422501
1/06/1985,0.064158171,0.976411402,3.77312398,13.78482819,2.014695168,2.014695168,2.014695168,0.200563461
1/07/1985,0.231151462,0.168102592,0.402149111,1.358986259,0.226214543,0.226214543,0.226214543,0.145817488
1/08/1985,0.1239108,1.207478046,5.816935539,11.40631008,3.413860321,3.413860321,3.413860321,0.427866489
1/09/1985,0.579611719,8.094408989,42.72444153,71.32613373,30.85529327,30.85529327,30.85529327,6.582201481
1/10/1985,0.092515439,5.343915462,18.21110153,21.95497894,9.44551754,9.44551754,9.44551754,1.138260484
1/11/1985,0.073325597,11.81434155,42.16422272,49.30925369,16.75677109,16.75677109,16.75677109,1.924693465
1/12/1985,0.048780538,60.00999451,113.614624,131.1378479,90.49919891,90.49919891,90.49919891,46.69215012
1/01/1986,0.311247468,269.228302,315.6938782,180.0002289,190.8879852,190.8879852,190.8879852,125.3716202
1/02/1986,0.296599537,205.4125366,209.3991547,172.7291565,178.638916,178.638916,178.638916,94.49273682
1/03/1986,0.30013445,219.4191437,246.1640015,178.3761902,167.3917236,167.3917236,167.3917236,92.70488739
1/04/1986,0.009715347,96.59632111,134.0071716,91.84140778,93.08560944,93.08560944,93.08560944,58.16212082
1/05/1986,0.121120073,5.834818363,21.10399246,32.26564407,8.212224007,8.212224007,8.212224007,1.545830965
1/06/1986,0.092101969,0.045383565,0.12538375,0.512328029,0.094918512,0.094918512,0.094918512,0.034215674
1/07/1986,0.198647529,2.183163643,7.121737957,21.00854874,7.312216759,7.312216759,7.312216759,4.821812153
1/08/1986,1.768045783,5.645562649,15.75310135,16.90676308,11.39632416,11.39632416,11.39632416,4.228940487
1/09/1986,1.034740686,5.052105904,13.80626869,20.94551849,7.753765583,7.753765583,7.753765583,2.233691216
1/10/1986,0.03115849,10.68767738,23.4202919,23.45719719,9.921149254,9.921149254,9.921149254,1.73508513
1/11/1986,0,54.23594284,78.01560974,52.17312241,34.81984329,34.81984329,34.81984329,12.50467777
1/12/1986,0,111.2287369,169.5677643,144.4421387,109.587471,109.587471,109.587471,57.85161972
1/01/1987,0.112938575,243.3276825,308.4746094,178.9687958,196.2324829,196.2324829,196.2324829,125.8986359
1/02/1987,0.224825934,135.3467255,147.245575,123.7091217,135.0946045,135.0946045,135.0946045,71.14183807
1/03/1987,0.06248818,81.82209015,101.8468018,76.18096924,66.53557587,66.53557587,66.53557587,34.04448318
1/04/1987,0.007411851,33.7026062,42.73584366,28.08841133,20.83957672,20.83957672,20.83957672,11.56102943
1/05/1987,0.079048589,4.124212265,6.877871513,5.558710575,3.268822432,3.268822432,3.268822432,1.055838466
1/06/1987,0.23075293,0.297124147,1.166942,4.72733736,0.735378027,0.735378027,0.735378027,0.120186538
1/07/1987,0.200809181,0.652078867,2.208616257,8.650094986,1.41567421,1.41567421,1.41567421,0.380703479
1/08/1987,0.342047036,2.763237953,9.155693054,13.53279686,4.600078583,4.600078583,4.600078583,0.777316034
1/09/1987,0.176874653,13.51251411,38.50007248,58.9508934,16.81068993,16.81068993,16.81068993,4.3855896
1/10/1987,0,17.2850914,33.95523834,34.6180954,13.84105015,13.84105015,13.84105015,4.847054958
1/11/1987,0,99.97554779,153.0857391,119.8379288,65.43144226,65.43144226,65.43144226,31.894907
1/12/1987,0.043693639,49.01638794,82.25972748,93.98926544,31.54406166,31.54406166,31.54406166,7.4877882
1/01/1988,0.391603649,212.4426422,275.7920532,173.4039154,174.9707184,174.9707184,174.9707184,126.4773102
1/02/1988,0.204926118,121.7990646,139.9059143,109.5181961,121.9244919,121.9244919,121.9244919,56.71958923
1/03/1988,0.334419578,115.9755173,171.993042,156.5871582,111.4047089,111.4047089,111.4047089,53.53889084
1/04/1988,0.044609033,119.3951721,170.3535461,106.742485,75.18796539,75.18796539,75.18796539,36.61456299
1/05/1988,0.159522951,11.02480125,29.15360451,39.39528275,9.497117996,9.497117996,9.497117996,1.667643189
1/06/1988,0,0,0.151637599,0.618184268,0.070054665,0.070054665,0.070054665,0
1/07/1988,0.143658876,0.130093768,0.227684498,0.814729333,0.13090609,0.13090609,0.13090609,0.127919793
1/08/1988,0.742325664,1.847698569,6.31341362,7.86608839,2.789972067,2.789972067,2.789972067,0.507517278
1/09/1988,0.188101098,12.17150116,39.63695908,55.22529602,10.9870472,10.9870472,10.9870472,1.589781284
1/10/1988,0,30.06575775,53.83659744,44.41085052,23.6228466,23.6228466,23.6228466,8.302664757
1/11/1988,0,38.01696777,58.0198288,45.53229904,18.25719261,18.25719261,18.25719261,6.280064106
1/12/1988,0.737107813,72.75733185,102.4978027,100.7027435,68.90168762,68.90168762,68.90168762,40.08736038
1/01/1989,0.799043775,221.1011963,295.96875,178.0403442,186.5900726,186.5900726,186.5900726,120.7389755
1/02/1989,0.809825599,205.7298126,223.5549774,167.091156,179.5343323,179.5343323,179.5343323,97.19736481
1/03/1989,1.456472039,212.2164307,264.9966736,187.1237946,190.4162445,190.4162445,190.4162445,112.7283554
1/04/1989,0,15.32422066,56.41104507,62.90486526,21.87018585,21.87018585,21.87018585,3.04891634
1/05/1989,0.041965794,4.367376328,10.07557964,13.43283463,4.667815208,4.667815208,4.667815208,1.622805357
1/06/1989,0.042269476,1.360463977,2.945407629,7.507603168,2.005099535,2.005099535,2.005099535,0.904932499
1/07/1989,0.890976965,0.977620959,2.314713001,3.804193735,1.135201573,1.135201573,1.135201573,0.419468999
1/08/1989,1.258544683,2.632568836,14.46866322,27.44343567,5.830834866,5.830834866,5.830834866,0.687942207
1/09/1989,0.806129813,6.381750584,23.76661873,26.2392292,11.29681873,11.29681873,11.29681873,2.844736338
1/10/1989,0,27.07187843,57.14028931,54.12776184,32.9469986,32.9469986,32.9469986,13.68315411
1/11/1989,0.116975263,5.698665619,14.99404812,16.81846237,6.138491631,6.138491631,6.138491631,0.955098152
1/12/1989,0.073745288,2.169956446,6.478080273,10.8754015,3.475368738,3.475368738,3.475368738,0.703439951
1/01/1990,0.58078438,84.84856415,172.4379578,127.9396896,104.0179672,104.0179672,104.0179672,51.80580521
1/02/1990,0,26.04405212,37.31172943,33.77724075,30.94690704,30.94690704,30.94690704,14.43449688
1/03/1990,0.822578073,54.19166946,84.10150909,59.21511841,63.07565308,63.07565308,63.07565308,34.23088074
1/04/1990,0,8.550088882,31.51381111,37.77965546,12.68880367,12.68880367,12.68880367,1.632856488
1/05/1990,0.413173735,8.332929611,24.095047,30.24156952,18.63707733,18.63707733,18.63707733,9.659928322
1/06/1990,1.274355412,2.202380419,8.521525383,33.80391312,5.43285799,5.43285799,5.43285799,1.28378284
1/07/1990,0.656419933,0.259076387,0.727788448,2.635603905,0.444868267,0.444868267,0.444868267,0.215901643
1/08/1990,1.468714952,1.957151651,7.911538124,13.06719017,5.038022995,5.038022995,5.038022995,1.874126196
1/09/1990,0.653619766,2.539027214,10.22881794,17.27885246,5.27234745,5.27234745,5.27234745,0.641371608
